"scenario","method","trait","type","metric","mean","sd","n_reps"
"BM","baseline","trait1","continuous","mae",0.349648156240175,0.00918161521063325,2
"BM","baseline","trait1","continuous","pearson_r",0.879104622389096,0.00786574875456716,2
"BM","baseline","trait1","continuous","rmse",0.4581645818059,0.0242280896725064,2
"BM","baseline","trait2","continuous","mae",0.418327404419738,0.09366417703642,2
"BM","baseline","trait2","continuous","pearson_r",0.842655015458643,0.103566987000565,2
"BM","baseline","trait2","continuous","rmse",0.534953053423727,0.132943110486875,2
"BM","baseline","trait3","continuous","mae",0.409295295447067,0.0763291423914157,2
"BM","baseline","trait3","continuous","pearson_r",0.805542210106915,0.0212501510250696,2
"BM","baseline","trait3","continuous","rmse",0.512018005371193,0.118380126635837,2
"BM","pigauto","trait1","continuous","conformal_coverage_95",0.981481481481481,0.0261891400439462,2
"BM","pigauto","trait1","continuous","mae",0.385566645628583,0.0599780337292784,2
"BM","pigauto","trait1","continuous","pearson_r",0.878053696412852,0.00935198286353147,2
"BM","pigauto","trait1","continuous","rmse",0.483404461634871,0.0599226727669442,2
"BM","pigauto","trait2","continuous","conformal_coverage_95",0.9375,0.0883883476483184,2
"BM","pigauto","trait2","continuous","mae",0.418327403422263,0.0936641785749007,2
"BM","pigauto","trait2","continuous","pearson_r",0.842655016305914,0.103566988345947,2
"BM","pigauto","trait2","continuous","rmse",0.534953052026131,0.132943113047501,2
"BM","pigauto","trait3","continuous","conformal_coverage_95",0.976190476190476,0.0336717514850737,2
"BM","pigauto","trait3","continuous","mae",0.419281916479593,0.0904523550099161,2
"BM","pigauto","trait3","continuous","pearson_r",0.807773030261054,0.0244050100829717,2
"BM","pigauto","trait3","continuous","rmse",0.520920800821932,0.130970577311733,2
"mixed","baseline","binary_trait","binary","accuracy",0.739583333333333,0.103119738923038,2
"mixed","baseline","binary_trait","binary","brier",0.196617172970798,0.0195316658555888,2
"mixed","baseline","cat_trait","categorical","accuracy",0.649014778325123,0.00870821159096728,2
"mixed","baseline","cat_trait","categorical","accuracy_A",0.858333333333333,0.0824957911384305,2
"mixed","baseline","cat_trait","categorical","accuracy_B",0,0,2
"mixed","baseline","cat_trait","categorical","accuracy_C",0.75,0.117851130197758,2
"mixed","baseline","cont1","continuous","mae",0.599517618735173,0.0595667747142402,2
"mixed","baseline","cont1","continuous","pearson_r",0.534346527399331,0.245253110191251,2
"mixed","baseline","cont1","continuous","rmse",0.770834566660308,0.0234775240546238,2
"mixed","baseline","cont2","continuous","mae",0.493486646610564,0.162425984916478,2
"mixed","baseline","cont2","continuous","pearson_r",0.823812149621562,0.101127671459134,2
"mixed","baseline","cont2","continuous","rmse",0.62834008894233,0.193386289527562,2
"mixed","pigauto","binary_trait","binary","accuracy",0.708333333333333,0.058925565098879,2
"mixed","pigauto","binary_trait","binary","brier",0.202717715751037,0.0109041948763754,2
"mixed","pigauto","cat_trait","categorical","accuracy",0.507389162561576,0.111465108364382,2
"mixed","pigauto","cat_trait","categorical","accuracy_A",1,0,2
"mixed","pigauto","cat_trait","categorical","accuracy_B",0.1,0.14142135623731,2
"mixed","pigauto","cat_trait","categorical","accuracy_C",0.25,0.117851130197758,2
"mixed","pigauto","cont1","continuous","conformal_coverage_95",0.925548589341693,0.0410077600374644,2
"mixed","pigauto","cont1","continuous","mae",0.601951032080948,0.0561254061533644,2
"mixed","pigauto","cont1","continuous","pearson_r",0.53780741742198,0.240358675442107,2
"mixed","pigauto","cont1","continuous","rmse",0.744040513926706,0.0144149853066943,2
"mixed","pigauto","cont2","continuous","conformal_coverage_95",0.932758620689655,0.0463276856639462,2
"mixed","pigauto","cont2","continuous","mae",0.492837641454277,0.16150813998868,2
"mixed","pigauto","cont2","continuous","pearson_r",0.81067943797303,0.119700124526068,2
"mixed","pigauto","cont2","continuous","rmse",0.639233519366581,0.208791912137484,2
"nonlinear","baseline","trait1","continuous","mae",0.532807753233671,0.24363965911714,2
"nonlinear","baseline","trait1","continuous","pearson_r",0.688838248000793,0.175441833396593,2
"nonlinear","baseline","trait1","continuous","rmse",0.717135821856836,0.263665007195217,2
"nonlinear","baseline","trait2","continuous","mae",0.36422661656033,0.0786334055684433,2
"nonlinear","baseline","trait2","continuous","pearson_r",0.660314178358323,0.326741221653539,2
"nonlinear","baseline","trait2","continuous","rmse",0.458880511417651,0.0986404317602446,2
"nonlinear","baseline","trait3","continuous","mae",0.66201156280489,0.0136651246560981,2
"nonlinear","baseline","trait3","continuous","pearson_r",0.671262406862471,0.201088164202752,2
"nonlinear","baseline","trait3","continuous","rmse",0.899238991454417,0.0816013160651733,2
"nonlinear","pigauto","trait1","continuous","conformal_coverage_95",0.980769230769231,0.027196414661021,2
"nonlinear","pigauto","trait1","continuous","mae",0.530945359143887,0.242730261196445,2
"nonlinear","pigauto","trait1","continuous","pearson_r",0.683665236632414,0.185461739878457,2
"nonlinear","pigauto","trait1","continuous","rmse",0.715772683883438,0.272823304336127,2
"nonlinear","pigauto","trait2","continuous","conformal_coverage_95",0.908571428571429,0.0727309832077592,2
"nonlinear","pigauto","trait2","continuous","mae",0.351233559062571,0.0874379055857821,2
"nonlinear","pigauto","trait2","continuous","pearson_r",0.658434965469854,0.32763511987194,2
"nonlinear","pigauto","trait2","continuous","rmse",0.450597341617567,0.0881268139801403,2
"nonlinear","pigauto","trait3","continuous","conformal_coverage_95",0.932142857142857,0.0454568645048495,2
"nonlinear","pigauto","trait3","continuous","mae",0.662011556610678,0.013665124119614,2
"nonlinear","pigauto","trait3","continuous","pearson_r",0.671262415702053,0.201088162412794,2
"nonlinear","pigauto","trait3","continuous","rmse",0.899238978387922,0.0816013145268604,2
"OU","baseline","trait1","continuous","mae",1.00164842039728,0.0858996090580902,2
"OU","baseline","trait1","continuous","pearson_r",0.0613551348181279,0.348494212161605,2
"OU","baseline","trait1","continuous","rmse",1.27120038810181,0.154787499207803,2
"OU","baseline","trait2","continuous","mae",1.02232741634178,0.119985748116583,2
"OU","baseline","trait2","continuous","pearson_r",-0.0128894354847199,0.0418188529976241,2
"OU","baseline","trait2","continuous","rmse",1.25083750442605,0.0822472551045564,2
"OU","baseline","trait3","continuous","mae",1.00828222779986,0.0899291424624917,2
"OU","baseline","trait3","continuous","pearson_r",-0.114377095616747,0.0803035536105444,2
"OU","baseline","trait3","continuous","rmse",1.2438036097926,0.138134372699692,2
"OU","pigauto","trait1","continuous","conformal_coverage_95",0.890166028097063,0.106562707765023,2
"OU","pigauto","trait1","continuous","mae",0.976739409438526,0.0981478879960695,2
"OU","pigauto","trait1","continuous","pearson_r",0.0595678195369509,0.336413940168517,2
"OU","pigauto","trait1","continuous","rmse",1.25501995925355,0.163724568415668,2
"OU","pigauto","trait2","continuous","conformal_coverage_95",0.862068965517241,0.0487659849094171,2
"OU","pigauto","trait2","continuous","mae",1.0107919184315,0.103672082972838,2
"OU","pigauto","trait2","continuous","pearson_r",-0.0103856427416885,0.0382779526117573,2
"OU","pigauto","trait2","continuous","rmse",1.24228622287188,0.0701539098828787,2
"OU","pigauto","trait3","continuous","conformal_coverage_95",0.781593406593407,0.145695078541184,2
"OU","pigauto","trait3","continuous","mae",0.965654136535103,0.0752711632461231,2
"OU","pigauto","trait3","continuous","pearson_r",-0.114133495405928,0.0849951849928689,2
"OU","pigauto","trait3","continuous","rmse",1.19287512716552,0.136246908683639,2
"regime_shift","baseline","trait1","continuous","mae",0.341729466789877,0.101289283477247,2
"regime_shift","baseline","trait1","continuous","pearson_r",0.900298492539075,0.0674114542029239,2
"regime_shift","baseline","trait1","continuous","rmse",0.415999655970807,0.11462094795338,2
"regime_shift","baseline","trait2","continuous","mae",0.443448891381498,0.0400027552736996,2
"regime_shift","baseline","trait2","continuous","pearson_r",0.806860123496134,0.0667383677420738,2
"regime_shift","baseline","trait2","continuous","rmse",0.57037313188282,0.0932812612260205,2
"regime_shift","baseline","trait3","continuous","mae",0.294092133461892,0.0302649506419744,2
"regime_shift","baseline","trait3","continuous","pearson_r",0.93079662905412,0.0289090275236761,2
"regime_shift","baseline","trait3","continuous","rmse",0.371166232997558,0.0364737975838275,2
"regime_shift","pigauto","trait1","continuous","conformal_coverage_95",0.91969696969697,0.0278557216831064,2
"regime_shift","pigauto","trait1","continuous","mae",0.341729467415059,0.101289273470271,2
"regime_shift","pigauto","trait1","continuous","pearson_r",0.900298492462432,0.0674114511891489,2
"regime_shift","pigauto","trait1","continuous","rmse",0.415999656976604,0.114620939370243,2
"regime_shift","pigauto","trait2","continuous","conformal_coverage_95",0.906609195402299,0.0142234122652466,2
"regime_shift","pigauto","trait2","continuous","mae",0.443448892743609,0.0400027557818955,2
"regime_shift","pigauto","trait2","continuous","pearson_r",0.806860121027446,0.0667383667339031,2
"regime_shift","pigauto","trait2","continuous","rmse",0.570373135064761,0.0932812596304422,2
"regime_shift","pigauto","trait3","continuous","conformal_coverage_95",0.921481481481481,0.0586636736984395,2
"regime_shift","pigauto","trait3","continuous","mae",0.294092133691949,0.0302649386421014,2
"regime_shift","pigauto","trait3","continuous","pearson_r",0.930796629593382,0.0289090220981105,2
"regime_shift","pigauto","trait3","continuous","rmse",0.371166235582793,0.0364737811310791,2
